trans_id,student_id,amount,category,pay_method,time,location
4695,20230000,52.4,娱乐,微信,2025/9/29 4:29,图书馆
4963,20230000,26.48,餐饮,支付宝,2025/6/16 18:59,校门口
7342,20230000,7.27,餐饮,校园卡,2025/5/23 19:56,校园超市
2573,20230000,64.38,娱乐,微信,2025/7/19 3:03,校园超市
4028,20230000,79.44,学习用品,支付宝,2025/10/25 3:06,打印店
6371,20230000,54.13,餐饮,支付宝,2025/7/25 4:47,图书馆
2582,20230000,3.32,交通,校园卡,2025/9/15 23:07,打印店
5400,20230000,73.02,生活服务,微信,2025/5/24 5:58,校园超市
6126,20230000,47.56,生活服务,校园卡,2025/10/1 4:40,图书馆
5029,20230000,31.99,餐饮,微信,2025/7/19 12:37,一食堂
2182,20230000,3.04,娱乐,微信,2025/7/3 14:39,校门口
2848,20230000,48.22,学习用品,校园卡,2025/5/30 11:39,图书馆
5539,20230000,61.15,娱乐,校园卡,2025/10/9 4:53,体育馆
3000,20230000,54.53,餐饮,微信,2025/10/7 10:51,校园超市
8316,20230000,17.57,娱乐,支付宝,2025/6/9 10:35,校园超市
3385,20230000,13.5,交通,校园卡,2025/8/17 16:18,校门口
3468,20230000,58.5,交通,微信,2025/8/31 9:03,校园超市
4955,20230000,26.74,交通,校园卡,2025/6/1 19:57,体育馆
4040,20230000,75.21,餐饮,支付宝,2025/10/10 5:22,校园超市
3871,20230000,68.56,生活服务,微信,2025/10/16 20:47,校门口
9088,20230000,40.91,生活服务,支付宝,2025/9/21 13:53,一食堂
1117,20230000,74.02,超市,微信,2025/10/7 1:39,校门口
5702,20230000,33.07,餐饮,微信,2025/6/2 14:40,图书馆
7345,20230000,15.85,生活服务,支付宝,2025/6/24 6:21,二食堂
5724,20230000,11.32,生活服务,校园卡,2025/8/20 3:09,校门口
8570,20230000,42.18,餐饮,校园卡,2025/9/13 1:50,二食堂
3689,20230000,25.14,餐饮,支付宝,2025/11/8 1:44,一食堂
2794,20230000,25.16,娱乐,微信,2025/9/6 6:43,一食堂
4027,20230000,35.44,餐饮,微信,2025/10/8 2:01,一食堂
5633,20230000,12.58,生活服务,微信,2025/7/11 10:49,打印店
4576,20230000,23.62,餐饮,校园卡,2025/7/18 3:19,校园超市
6980,20230000,34.47,交通,支付宝,2025/10/25 21:47,体育馆
8419,20230000,57.84,交通,校园卡,2025/5/30 13:30,图书馆
5504,20230000,77.12,超市,校园卡,2025/8/19 12:51,打印店
8959,20230000,17.33,交通,支付宝,2025/5/24 17:32,图书馆
5848,20230000,52.14,餐饮,校园卡,2025/8/22 8:51,校园超市
5122,20230000,76.41,餐饮,支付宝,2025/9/5 8:35,校门口
9359,20230000,19.03,生活服务,微信,2025/8/4 4:38,图书馆
1991,20230000,18.79,交通,校园卡,2025/7/19 17:52,校门口
6427,20230000,53.21,娱乐,微信,2025/5/25 1:38,体育馆
5839,20230000,64.11,交通,支付宝,2025/5/31 16:41,图书馆
871,20230000,18.39,生活服务,支付宝,2025/8/5 8:59,一食堂
9105,20230000,59.05,学习用品,支付宝,2025/10/6 18:49,图书馆
3263,20230000,43.96,交通,校园卡,2025/10/29 1:30,图书馆
4619,20230000,61.69,餐饮,微信,2025/7/16 9:01,体育馆
2341,20230000,22.03,生活服务,校园卡,2025/6/2 5:50,体育馆
4630,20230000,57.91,生活服务,微信,2025/8/28 3:11,一食堂
8329,20230000,28.73,超市,支付宝,2025/7/2 11:35,校门口
4921,20230000,53.1,超市,校园卡,2025/9/10 2:55,打印店
6962,20230000,14.63,娱乐,微信,2025/6/9 10:02,图书馆
7764,20230000,57.11,娱乐,微信,2025/9/17 1:08,打印店
6192,20230000,6.75,学习用品,支付宝,2025/5/22 11:48,体育馆
3740,20230000,52.37,娱乐,微信,2025/10/18 7:13,图书馆
5632,20230000,12.11,生活服务,校园卡,2025/9/5 15:22,二食堂
756,20230000,2.75,交通,校园卡,2025/9/22 6:00,图书馆
6420,20230000,77.07,娱乐,校园卡,2025/9/9 3:36,一食堂
574,20230000,13.11,超市,支付宝,2025/8/5 17:41,图书馆
2791,20230000,2.71,餐饮,支付宝,2025/7/26 0:21,打印店
2275,20230001,25.78,超市,支付宝,2025/7/12 9:23,校门口
8036,20230001,23.09,生活服务,微信,2025/11/16 9:26,图书馆
2320,20230001,18.54,学习用品,支付宝,2025/11/4 20:11,打印店
9054,20230001,43.94,餐饮,微信,2025/9/13 16:53,校门口
7484,20230001,76.33,餐饮,微信,2025/8/16 18:21,校门口
1387,20230001,31.17,生活服务,校园卡,2025/8/26 8:14,校园超市
2634,20230001,14.5,学习用品,支付宝,2025/6/15 20:05,二食堂
7987,20230001,13.39,生活服务,支付宝,2025/11/14 21:10,二食堂
3930,20230001,46.63,娱乐,校园卡,2025/6/9 4:36,图书馆
4321,20230001,8.29,生活服务,微信,2025/8/21 18:19,校园超市
6150,20230001,48.39,学习用品,支付宝,2025/6/21 15:17,二食堂
1060,20230001,79.25,娱乐,微信,2025/6/29 3:53,打印店
4898,20230001,2.42,餐饮,校园卡,2025/7/11 12:40,校门口
152,20230001,77.65,超市,校园卡,2025/8/18 17:17,体育馆
4104,20230001,51.91,交通,支付宝,2025/7/17 6:43,图书馆
4868,20230001,54.5,娱乐,微信,2025/7/11 21:46,体育馆
6683,20230001,18.95,交通,微信,2025/10/1 9:08,打印店
9545,20230001,75.9,交通,校园卡,2025/6/20 10:02,体育馆
5027,20230001,13.46,餐饮,微信,2025/6/7 2:35,校园超市
858,20230001,57.59,娱乐,校园卡,2025/9/9 3:08,一食堂
5780,20230001,40.26,交通,微信,2025/9/21 1:55,一食堂
8330,20230001,44.49,生活服务,支付宝,2025/8/18 16:53,二食堂
1045,20230001,74.29,超市,微信,2025/5/24 22:15,校园超市
2134,20230001,52.93,餐饮,校园卡,2025/8/27 18:42,一食堂
3453,20230001,24.99,交通,校园卡,2025/9/13 0:24,二食堂
8097,20230001,52.58,生活服务,校园卡,2025/10/22 22:55,校园超市
583,20230001,68.6,餐饮,支付宝,2025/6/21 5:11,体育馆
9127,20230001,63.56,生活服务,支付宝,2025/7/13 15:26,校门口
7984,20230001,69.93,超市,校园卡,2025/9/21 13:56,二食堂
8801,20230001,27.27,学习用品,微信,2025/6/2 10:47,校园超市
9158,20230001,41.51,交通,微信,2025/7/11 17:04,体育馆
4845,20230001,30.17,餐饮,校园卡,2025/7/24 15:23,校门口
6328,20230001,75.88,超市,微信,2025/9/28 22:30,二食堂
4523,20230001,16.53,娱乐,微信,2025/11/9 0:07,校门口
5249,20230001,57.96,餐饮,校园卡,2025/6/29 4:12,二食堂
3168,20230001,25.12,学习用品,校园卡,2025/9/15 15:40,校门口
2656,20230001,40.68,学习用品,支付宝,2025/10/20 12:24,图书馆
1620,20230001,17.16,学习用品,支付宝,2025/9/7 17:02,一食堂
710,20230001,69.04,生活服务,支付宝,2025/9/3 22:25,校园超市
9564,20230001,55.75,交通,校园卡,2025/8/29 14:58,校园超市
4194,20230001,64.56,餐饮,校园卡,2025/6/11 22:21,校门口
1545,20230001,32.65,交通,微信,2025/11/16 3:48,二食堂
1831,20230001,77.27,学习用品,微信,2025/7/4 6:04,校园超市
5447,20230001,53.49,娱乐,微信,2025/10/4 7:57,校门口
1335,20230001,32.63,学习用品,校园卡,2025/10/25 20:02,校园超市
9056,20230001,3.49,生活服务,微信,2025/7/30 1:51,打印店
